nChains,reversible,random,execFolder,round,count,rate
8.0,true,1,exec_1,0,0,NaN
8.0,true,1,exec_1,1,0,0.0
8.0,true,1,exec_1,2,0,0.0
8.0,true,1,exec_1,3,0,0.0
8.0,true,1,exec_1,4,0,0.0
8.0,true,1,exec_1,5,0,0.0
8.0,true,1,exec_1,6,4,0.0
8.0,true,1,exec_1,7,5,0.04077261623929269
8.0,true,1,exec_1,8,13,0.036271514462763915
8.0,true,2,exec_10,0,0,0.0
8.0,true,2,exec_10,1,0,0.0
8.0,true,2,exec_10,2,0,0.0
8.0,true,2,exec_10,3,0,0.0
8.0,true,2,exec_10,4,0,0.0
8.0,true,2,exec_10,5,1,0.0
8.0,true,2,exec_10,6,2,0.0
8.0,true,2,exec_10,7,5,0.04085028762489021
8.0,true,2,exec_10,8,12,0.03301868412228005
4.0,true,3,exec_11,0,0,NaN
4.0,true,3,exec_11,1,0,0.0
4.0,true,3,exec_11,2,0,0.0
4.0,true,3,exec_11,3,0,0.0
4.0,true,3,exec_11,4,0,0.0
4.0,true,3,exec_11,5,1,0.0
4.0,true,3,exec_11,6,3,0.0
4.0,true,3,exec_11,7,6,0.11003433555319869
4.0,true,3,exec_11,8,9,0.035889654010075114
8.0,false,2,exec_12,0,0,0.0
8.0,false,2,exec_12,1,0,0.0
8.0,false,2,exec_12,2,0,0.0
8.0,false,2,exec_12,3,0,0.0
8.0,false,2,exec_12,4,0,0.0
8.0,false,2,exec_12,5,1,0.0
8.0,false,2,exec_12,6,5,0.0
8.0,false,2,exec_12,7,13,0.11360018536222712
8.0,false,2,exec_12,8,16,0.044796595530539614
16.0,false,2,exec_13,0,0,0.0
16.0,false,2,exec_13,1,0,0.0
16.0,false,2,exec_13,2,0,0.0
16.0,false,2,exec_13,3,0,0.0
16.0,false,2,exec_13,4,0,0.0
16.0,false,2,exec_13,5,1,0.0
16.0,false,2,exec_13,6,8,0.0
16.0,false,2,exec_13,7,22,0.481102246746709
16.0,false,2,exec_13,8,33,0.10879344038293964
4.0,false,3,exec_14,0,0,0.0
4.0,false,3,exec_14,1,0,0.0
4.0,false,3,exec_14,2,0,0.0
4.0,false,3,exec_14,3,0,0.0
4.0,false,3,exec_14,4,0,0.0
4.0,false,3,exec_14,5,0,0.0
4.0,false,3,exec_14,6,1,0.0
4.0,false,3,exec_14,7,7,0.08597620830330471
4.0,false,3,exec_14,8,7,0.025983129645697777
8.0,true,4,exec_15,0,0,NaN
8.0,true,4,exec_15,1,0,0.0
8.0,true,4,exec_15,2,0,0.0
8.0,true,4,exec_15,3,0,0.0
8.0,true,4,exec_15,4,0,0.0
8.0,true,4,exec_15,5,1,0.0
8.0,true,4,exec_15,6,2,0.0
8.0,true,4,exec_15,7,5,0.0431068037276461
8.0,true,4,exec_15,8,14,0.03911508642594655
8.0,false,3,exec_16,0,0,0.0
8.0,false,3,exec_16,1,0,0.0
8.0,false,3,exec_16,2,0,0.0
8.0,false,3,exec_16,3,0,0.0
8.0,false,3,exec_16,4,1,0.0
8.0,false,3,exec_16,5,0,0.0
8.0,false,3,exec_16,6,5,0.0
8.0,false,3,exec_16,7,10,0.10054402366653203
8.0,false,3,exec_16,8,22,0.06214339757032841
16.0,false,3,exec_17,0,0,0.0
16.0,false,3,exec_17,1,0,0.0
16.0,false,3,exec_17,2,0,0.0
16.0,false,3,exec_17,3,0,0.0
16.0,false,3,exec_17,4,1,0.0
16.0,false,3,exec_17,5,2,0.0
16.0,false,3,exec_17,6,6,0.0
16.0,false,3,exec_17,7,16,0.33678024439437676
16.0,false,3,exec_17,8,34,0.11407827333390266
16.0,true,3,exec_18,0,0,0.0
16.0,true,3,exec_18,1,0,0.0
16.0,true,3,exec_18,2,0,0.0
16.0,true,3,exec_18,3,0,0.0
16.0,true,3,exec_18,4,0,0.0
16.0,true,3,exec_18,5,1,0.0
16.0,true,3,exec_18,6,0,0.0
16.0,true,3,exec_18,7,3,0.0677246862675817
16.0,true,3,exec_18,8,7,0.023515728474300994
8.0,true,3,exec_19,0,0,NaN
8.0,true,3,exec_19,1,0,0.0
8.0,true,3,exec_19,2,0,0.0
8.0,true,3,exec_19,3,0,0.0
8.0,true,3,exec_19,4,0,0.0
8.0,true,3,exec_19,5,2,0.0
8.0,true,3,exec_19,6,2,0.0
8.0,true,3,exec_19,7,5,0.048694455272711074
8.0,true,3,exec_19,8,11,0.03141996856752093
4.0,false,1,exec_2,0,0,0.0
4.0,false,1,exec_2,1,0,0.0
4.0,false,1,exec_2,2,0,0.0
4.0,false,1,exec_2,3,0,0.0
4.0,false,1,exec_2,4,0,0.0
4.0,false,1,exec_2,5,0,0.0
4.0,false,1,exec_2,6,3,0.0
4.0,false,1,exec_2,7,3,0.08428670126778119
4.0,false,1,exec_2,8,6,0.019736203080587274
8.0,false,4,exec_20,0,0,0.0
8.0,false,4,exec_20,1,0,0.0
8.0,false,4,exec_20,2,0,0.0
8.0,false,4,exec_20,3,0,0.0
8.0,false,4,exec_20,4,0,0.0
8.0,false,4,exec_20,5,4,0.0
8.0,false,4,exec_20,6,6,0.0
8.0,false,4,exec_20,7,9,0.08743727341120718
8.0,false,4,exec_20,8,23,0.06359846298343978
4.0,false,4,exec_21,0,0,0.0
4.0,false,4,exec_21,1,0,0.0
4.0,false,4,exec_21,2,0,0.0
4.0,false,4,exec_21,3,0,0.0
4.0,false,4,exec_21,4,0,0.0
4.0,false,4,exec_21,5,0,0.0
4.0,false,4,exec_21,6,2,0.0
4.0,false,4,exec_21,7,1,0.0
4.0,false,4,exec_21,8,8,0.02632182721494841
4.0,true,4,exec_22,0,0,0.0
4.0,true,4,exec_22,1,0,0.0
4.0,true,4,exec_22,2,0,0.0
4.0,true,4,exec_22,3,0,0.0
4.0,true,4,exec_22,4,0,0.0
4.0,true,4,exec_22,5,1,0.0
4.0,true,4,exec_22,6,1,0.0
4.0,true,4,exec_22,7,3,0.0
4.0,true,4,exec_22,8,7,0.027127702084742113
4.0,false,5,exec_23,0,0,0.0
4.0,false,5,exec_23,1,0,0.0
4.0,false,5,exec_23,2,0,0.0
4.0,false,5,exec_23,3,0,0.0
4.0,false,5,exec_23,4,0,0.0
4.0,false,5,exec_23,5,1,0.0
4.0,false,5,exec_23,6,3,0.0
4.0,false,5,exec_23,7,3,0.0
4.0,false,5,exec_23,8,9,0.029535389970482915
16.0,true,4,exec_24,0,0,NaN
16.0,true,4,exec_24,1,0,0.0
16.0,true,4,exec_24,2,0,0.0
16.0,true,4,exec_24,3,0,0.0
16.0,true,4,exec_24,4,0,0.0
16.0,true,4,exec_24,5,0,0.0
16.0,true,4,exec_24,6,3,0.0
16.0,true,4,exec_24,7,2,0.04806117930386765
16.0,true,4,exec_24,8,8,0.02675548885385342
4.0,true,5,exec_25,0,0,NaN
4.0,true,5,exec_25,1,0,0.0
4.0,true,5,exec_25,2,0,0.0
4.0,true,5,exec_25,3,0,0.0
4.0,true,5,exec_25,4,1,0.0
4.0,true,5,exec_25,5,1,0.0
4.0,true,5,exec_25,6,0,0.0
4.0,true,5,exec_25,7,3,0.08868341379173808
4.0,true,5,exec_25,8,6,0.021529106366567262
16.0,false,4,exec_26,0,0,0.0
16.0,false,4,exec_26,1,0,0.0
16.0,false,4,exec_26,2,0,0.0
16.0,false,4,exec_26,3,0,0.0
16.0,false,4,exec_26,4,0,0.0
16.0,false,4,exec_26,5,0,0.0
16.0,false,4,exec_26,6,4,0.0
16.0,false,4,exec_26,7,16,0.2763315780712333
16.0,false,4,exec_26,8,26,0.08594371322352887
8.0,false,5,exec_27,0,0,0.0
8.0,false,5,exec_27,1,0,0.0
8.0,false,5,exec_27,2,0,0.0
8.0,false,5,exec_27,3,0,0.0
8.0,false,5,exec_27,4,0,0.0
8.0,false,5,exec_27,5,2,0.0
8.0,false,5,exec_27,6,3,0.0
8.0,false,5,exec_27,7,8,0.06908993220286784
8.0,false,5,exec_27,8,22,0.06103344382004439
16.0,true,5,exec_28,0,0,NaN
16.0,true,5,exec_28,1,0,NaN
16.0,true,5,exec_28,2,0,0.0
16.0,true,5,exec_28,3,0,0.0
16.0,true,5,exec_28,4,0,0.0
16.0,true,5,exec_28,5,0,0.0
16.0,true,5,exec_28,6,1,0.0
16.0,true,5,exec_28,7,3,0.05775475247003438
16.0,true,5,exec_28,8,13,0.042992019393019235
8.0,true,5,exec_29,0,0,NaN
8.0,true,5,exec_29,1,0,0.0
8.0,true,5,exec_29,2,0,0.0
8.0,true,5,exec_29,3,0,0.0
8.0,true,5,exec_29,4,0,0.0
8.0,true,5,exec_29,5,0,0.0
8.0,true,5,exec_29,6,4,0.0
8.0,true,5,exec_29,7,7,0.06241520123679012
8.0,true,5,exec_29,8,14,0.03912747578978808
8.0,false,1,exec_3,0,0,0.0
8.0,false,1,exec_3,1,0,0.0
8.0,false,1,exec_3,2,0,0.0
8.0,false,1,exec_3,3,0,0.0
8.0,false,1,exec_3,4,1,0.0
8.0,false,1,exec_3,5,0,0.0
8.0,false,1,exec_3,6,3,0.0
8.0,false,1,exec_3,7,8,0.0724661095386939
8.0,false,1,exec_3,8,25,0.06998111092828165
16.0,false,5,exec_30,0,0,0.0
16.0,false,5,exec_30,1,0,0.0
16.0,false,5,exec_30,2,0,0.0
16.0,false,5,exec_30,3,0,0.0
16.0,false,5,exec_30,4,0,0.0
16.0,false,5,exec_30,5,0,0.0
16.0,false,5,exec_30,6,5,0.0
16.0,false,5,exec_30,7,16,0.3460405125368656
16.0,false,5,exec_30,8,34,0.11503167288402893
4.0,true,1,exec_4,0,0,NaN
4.0,true,1,exec_4,1,0,NaN
4.0,true,1,exec_4,2,0,0.0
4.0,true,1,exec_4,3,0,0.0
4.0,true,1,exec_4,4,0,0.0
4.0,true,1,exec_4,5,0,0.0
4.0,true,1,exec_4,6,1,0.0
4.0,true,1,exec_4,7,2,0.0
4.0,true,1,exec_4,8,8,0.02922735581903284
16.0,false,1,exec_5,0,0,0.0
16.0,false,1,exec_5,1,0,0.0
16.0,false,1,exec_5,2,0,0.0
16.0,false,1,exec_5,3,0,0.0
16.0,false,1,exec_5,4,0,0.0
16.0,false,1,exec_5,5,2,0.0
16.0,false,1,exec_5,6,5,0.0
16.0,false,1,exec_5,7,15,0.2679586949812683
16.0,false,1,exec_5,8,33,0.11292531216628018
4.0,true,2,exec_6,0,0,NaN
4.0,true,2,exec_6,1,0,0.0
4.0,true,2,exec_6,2,0,0.0
4.0,true,2,exec_6,3,0,0.0
4.0,true,2,exec_6,4,0,0.0
4.0,true,2,exec_6,5,0,0.0
4.0,true,2,exec_6,6,0,0.0
4.0,true,2,exec_6,7,5,0.3771101118310431
4.0,true,2,exec_6,8,5,0.023011912379954817
4.0,false,2,exec_7,0,0,0.0
4.0,false,2,exec_7,1,0,0.0
4.0,false,2,exec_7,2,0,0.0
4.0,false,2,exec_7,3,0,0.0
4.0,false,2,exec_7,4,0,0.0
4.0,false,2,exec_7,5,0,0.0
4.0,false,2,exec_7,6,3,0.0
4.0,false,2,exec_7,7,6,0.07657301507752048
4.0,false,2,exec_7,8,8,0.029634392959259733
16.0,true,1,exec_8,0,0,0.0
16.0,true,1,exec_8,1,0,0.0
16.0,true,1,exec_8,2,0,0.0
16.0,true,1,exec_8,3,0,0.0
16.0,true,1,exec_8,4,0,0.0
16.0,true,1,exec_8,5,0,0.0
16.0,true,1,exec_8,6,1,0.0
16.0,true,1,exec_8,7,7,0.1327662847523359
16.0,true,1,exec_8,8,9,0.030527755355729488
16.0,true,2,exec_9,0,0,0.0
16.0,true,2,exec_9,1,0,0.0
16.0,true,2,exec_9,2,0,0.0
16.0,true,2,exec_9,3,0,0.0
16.0,true,2,exec_9,4,0,0.0
16.0,true,2,exec_9,5,0,0.0
16.0,true,2,exec_9,6,1,0.0
16.0,true,2,exec_9,7,5,0.10714409683026903
16.0,true,2,exec_9,8,12,0.040815415322050234
